인증번호,모델명,제품명,브랜드명,사업자구분,법정제품분류,리콜종류,리콜사업자명,제조국가명,제조사명,제조사국가명,리콜방법,위해유형,안전성조사명,등록일
,베스타축구공,기타어린이제품(축구공),,수입,기타어린이제품>,명령에따른리콜,베스타,국외>아시아지역>중국,winnersports,국외>아시아지역>중국,교환수거수리환불,유해물질,환경부후속,2020-08-25
,줄넘기검정,기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,대성상사,국외>아시아지역>중국,대성상사,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-25
,2500꽈배기줄넘기파랑,기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,(주)점프,국외>아시아지역>중국,(주)점프,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-25
,2500꽈배기줄넘기분홍,기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,(주)점프,국외>아시아지역>중국,(주)점프,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-25
,리락쿠마줄넘기노랑,기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,(주)필박스,국외>아시아지역>중국,(주)필박스,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-25
,리락쿠마줄넘기(핑크),기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,(주)필박스,국외>아시아지역>중국,(주)필박스,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-25
,스마트한점프점프줄넘기노랑,기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,(주)필박스,미상>미상>미상,(주)필박스,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-25
,스마트한점프점프줄넘기파랑,기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,(주)필박스,미상>미상>미상,(주)필박스,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-25
,스마트한점프점프줄넘기연두,기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,(주)필박스,미상>미상>미상,(주)필박스,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-25
,2000키쑥쑥!무지개줄넘기하늘(KH1611-05),기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,해피프랜즈,국외>아시아지역>중국,해피프랜즈,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-26
,2000키쑥쑥!무지개줄넘기핑크(KH1611-05),기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,해피프랜즈,국외>아시아지역>중국,해피프랜즈,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-26
,스포타임배드민턴스쿨팩[낱개],기타어린이제품(배드민턴라켓),,수입,기타어린이제품>,명령에따른리콜,스포타임,미상>미상>미상,스포타임,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-26
,포인트수학줄자20개,기타어린이제품(학습용품),,수입,기타어린이제품>,명령에따른리콜,레드포인트,국외>아시아지역>중국,레드포인트,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-26
B365J001-0001,영어문장자석퍼즐리쉬조동사편,완구(기타어린이제품),MEGPUZZLE,수입,어린이>완구,명령에따른리콜,㈜길에듀월드,미상>미상>미상,㈜길에듀월드,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-26
B362A237-7001,에디슨퍼즐,완구(퍼즐),,제조,어린이>완구,명령에따른리콜,신광사,국내>아시아지역>대한민국,신광사,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-26
CB061H071-8001,풍차[바람에너지2-유아용],완구(교육용완구),,수입,어린이>완구,명령에따른리콜,㈜포디랜드,미상>미상>미상,㈜포디랜드,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-26
